A
again ad.又一次；而且a art.一(个) 　；每一(个)                                         
able a.有能力的；出色的
about prep.关于；在…周围                                    
above prep.在…上面；高于
accept vt.vi.接受；同意                                        
across prep.横过；在…对面
act vi.行动；见效n.行为                                        
add vt.添加，附加，掺加
　　addreafraid a.害怕的；担心的
　　Africa n.非洲
　　after prep.在…以后；次于
　　afternoon n.下午，午后
　　age n.年龄；时代vt.变老
　　ago ad.以前
　　agree vi.同意；持相同意见
　　air n.空气；空中；外观
　　all a.全部的prep.全部
　　allow vt.允许，准许；任
　　almost ad.几乎，差不多
　　alone a.单独的ad.单独地
　　along prep.沿着ad.向前
　　aloud ad.出声地，大声地
　　already ad.早已，已经
　　also ad.亦，也；而且，还
　　although conj.尽管，虽然
　　always ad.总是，一直；永远
　　America n.美洲；美国
　　American a.美洲的n.美国人
　　and conj.和，又，并，则
　　angry a.愤怒的，生气的
　　animal n.动物，兽a.动物的
　　another a.再一个的；别的
　　answer vt.回答；响应；适应
　　any a.什么，一些；任何的
　　apple n.苹果，苹果树
　　around prep.在…周围
　　arrive vi.到达；来临；达到
　　article n.文章；条款；物品
　　as conj.当…的时候
　　Asia n.亚洲
　　Asian.亚洲的n.亚洲人
　　aside ad.在旁边，到旁边
　　ask vt.问；要求；邀请
　　asleep a.睡着的，睡熟的
　　at prep.在…里；在…时
　　Australia n.澳大利亚
　　autumn n.秋，秋季
　　away ad.离开，远离；…去
　　  B
　　baby n.婴儿；孩子气的人
　　back ad.在后；回原处；回
　　bad a.坏的，恶的；严重的
　　badly ad.坏，差；严重地
　　bag n.袋，包，钱包，背包
　　ball n.球，球状物；舞会
　　banana n.香蕉；芭蕉属植物
　　bank n.银行；库；岩，堤
　　bar n.酒吧间；条，杆；栅
　　base n.基础，底层；基地
　　basket n.篮，篓，筐
　　basketball n.篮球；篮球运动
　　be aux.v.&vi.是，在，做
　　beautiful a.美的，美丽的
　　beauty n.美，美丽；美人
　　because conj.由于，因为
　　become vi.变成；成为，变得
　　bed n.床，床位；圃；河床
　　beer n.啤酒
　　before prep.在…以前；向…
　　beg vt.&vi.乞求；请求
　　beggar n.乞丐，穷人
　　begin vi.开始vt.开始
　　behind prep.在…后面
　　being n.存在；生物；生命
　　belief n.信任，相信；信念
　　believe vt.相信；认为
　　belong vi.属于，附属
　　below prep.在…下面(以下) 
　　beside prep.在…旁边
　　besides ad.而且prep.除…之外
　　best a.最好的；最大的
　　better a.较好的ad.更好地
　　between prep.在…中间
　　bicycle n.自行车，脚踏车
　　big a.大的，巨大的
　　bike n.自行车vi.骑自行车
　　bird n.鸟，禽
　　birthday n.生日，诞生的日期
　　black a.黑色的；黑暗的
　　blackboard n.黑板
　　blind a.瞎的；盲目的
　　blue a.蓝色的n.蓝色
　　boat n.小船，艇；渔船
　　body n.身体；主体；尸体
　　book n.书，书籍vt.预定
　　boss n.老板，上司vt.指挥
　　both pron.两者(都)
　　box n.箱，盒；包箱
　　boy n.男孩，少年；家伙
　　break vt.打破；损坏；破坏
　　breakfast n.早饭，早餐
　　bring vt.带来；引出；促使
　　brother n.兄弟；同事，同胞
　　build vt.建筑；建立；创立
　　building n.建筑物，大楼；建筑
　　bus n.公共汽车
　　business n.商业，生意；事务
　　busy a.忙的，繁忙的
　　but conj.但是，可是
　　buy vt.买，购买vi.买
　　by prep.在…旁；被，由
　　  
C
　　call vt.把…叫做；叫，喊
　　camel n.骆驼
　　can aux.v.能，会，可能
　　Canada n.加拿大
　　cap n.帽子，便帽；帽状物
　　car n.汽车，小汽车，轿车
　　card n.卡，卡片，名片
　　care vi.关心，介意n.小心
　　careful a.仔细的；细致的
　　careless a.粗心的，漫不经心的
　　carry vt.携带；运载；传送
　　case n.情况；事实；病例
　　cat n.猫，猫科，猫皮
　　catch vt.捉住；赶上；领会
　　cause n.原因，理由；事业
　　certainly ad.一定，必定；当然
　　chair n.椅子；主席
　　change n.改变，变化；零钱
　　channel n.海峡；渠道；频道
　　check vt.检查；制止n.检查
　　child n.小孩，儿童；儿子
　　childhood n.童年，幼年；早期
　　China n.中国
　　china n.瓷器，瓷料
　　Chinese a.中国的n.中国人
　　choice n.选择，抉择
　　choose vt.选择，挑选；情愿
　　Christmas n.圣诞节
　　cinema n.电影院；电影，影片
　　city n.城市，都市
　　class n.班，班级；阶级
　　classmate n.同班同学
　　classroom n.教室，课堂
　　clean a.清洁的；纯洁的
　　clear a.清晰的vt.清除
　　clever a.聪明的；机敏的
　　climb vi.攀登，爬vt.爬
　　clock n.钟，仪表
　　close vt.关，闭；结束
　　cloth n.布；衣料；桌布
　　clothe vt.给…穿衣服
　　clothes n.衣服，服装；被褥
　　clothing n.衣服，被褥
　　club n.俱乐部，夜总会
　　coat n.外套，上衣；表皮
　　coffee n.咖啡，咖啡茶
　　cold a.冷的；冷淡的n.冷
　　collect vt.收集vi.收款
　　college n.学院；大学
　　color n.颜色，彩色；颜料
　　come vi.来，来到；出现
　　company n.公司，商号；同伴
　　comrade n.同志，亲密的同伴
　　consider vt.认为；考虑；关心
　　control vt.控制，克制n.控制
　　cool a.凉的，冷静的
　　copy n.抄件vt.抄写，复制
　　correct a.正确的vt.纠正
　　cost n.价格，代价；成本
　　could aux.v.(can的过去式)
　　country n.国家，国土；农村
　　countryside n.乡下，农村
　　cover vt.盖，包括n.盖子
　　cow n.母牛，奶牛；母兽
　　crazy a.疯狂的，荒唐的
　　cross vt.穿过；使交叉
　　cry vi.哭，哭泣；叫喊
　　cup n.杯子；(一)杯；奖杯
　　cut vt.切，割，剪；减少
　　D
　　daily a.每日的n.日报
　　dance vi.跳舞；摇晃n.舞
　　danger n.危险；危险事物
　　dangerous a.危险的，不安全的
　　dare vt.&aux.v.敢；竟敢
　　dark a.暗的；黑色的
　　darling n.亲爱的人；宠儿
　　date n.日期vt.注…日期
　　daughter n.女儿
　　day n.(一)天，白昼，白天
　　dead a.死的，无生命的
　　dear a.亲爱的int.啊
　　debt n.债，债务，欠债
　　decide vt.决定，决心；解决
　　deep a.深的；纵深的
　　delete vt.删除；擦掉
　　depend vi.依靠，依赖；相信
　　desk n.书桌，办公桌
　　develop vt.发展；形成；开发
　　development n.发展；开发；生长
　　dictionary n.词典，字典
　　die vi.死，死亡；灭亡
　　difference n.差别；差；分歧
　　different a.差异的；各种的
　　difficult a.困难的；难对付的
　　difficulty a.困难；难事；困境
　　dirty a.脏的；下流的
　　discover vt.发现；暴露，显示
　　discovery n.发现；被发现的事物
　　do aux.v. vt.做，干，办
　　doctor n.医生，医师；博士
　　dog n.狗，犬，犬科动物
　　dollar n.元(货币单位)
　　donkey n.驴；笨蛋
　　door n.门，通道；一家
　　dot n.点，圆点vt.打点于
　　double a.两倍的；双的
　　down ad.向下，在下面
　　drag vt.拖，拉；拖曳
　　draw vt.画，划；拖；拨出
　　dream n.梦；梦想vi.做梦
　　dress n.女服，童装；服装
　　drink vt.饮vi.喝n.饮料
　　drive vt.驾驶；打入；驱
　　driver n.驾驶员，司机
　　drop vt.使落下；降低
　　dry a.干的，干燥的
　　during prep.在…期间
　　  E
　　each pron.各，各自a.各
　　ear n.耳朵；听力，听觉
　　early ad.早a.早的，早期的-ly
　　earth n.地球；陆地，地面
　　easy a.容易的；安逸的
　　eat vt.吃，喝vi.吃饭
　　education n.教育；训导；教育学
　　egg n.蛋，鸡蛋，卵
　　eight num.八，八个，第八
　　eighteen num.十八，十八个
　　eighth num.第八n.八分之一
　　eighty num.八十，八十个
　　either pron.(两者)任何一个
　　elect vt.选举，推选；选择
　　elephant n.象
　　eleven num.十一，十一个
　　eleventh num.第十一(个) 
　　else ad.其它，另外a.别的
　　end n.末端；目标vt.结束
　　enemy n.敌人；仇敌；敌兵
　　England n.英格兰；英国
　　English n.英语a.英国人的
　　enjoy vt.享受；欣赏，喜爱
　　enough a.足够的ad.足够地
　　enter vt.走进，进入；参加
　　error n.错误，谬误；差错
　　even ad.甚至；甚至更，还
　　even a.均匀的；平的
　　evening n.傍晚，黄昏，晚上
　　ever ad.在任何时候；曾经
　　every a.每一的；每隔…的
　　exam n.考试；检查，细查
　　examination n.考试；检查，细查
　　example n.例子，实例；模范
　　except prep.除…之外
　　explain vt.解释；为…辩解
　　eye n.眼睛；眼力；鉴赏力
　　  F
　　fact n.事实；实际，实情
　　factory n.工厂，制造厂
　　fair a.公平的；相当的
　　fall vi.落下；跌倒；陷落
　　family n.家，家庭；家族
　　famous a.著名的，出名的
　　far a.远的ad.远，遥远
　　farm n.农场，农庄；饲养场
　　farmer n.农民，农夫；农场主
　　farther ad.更远地a.更远的
　　fast a.快的；偏快的ad.快
　　father n.父亲；神父；创始人
　　feed vt.喂(养) vi.吃饲料
　　feel vi.有知觉vt.触，摸
　　few a.很少的；少数的
　　field n.田野；田；运动场
　　fifteen num.十五；十五个
　　fifth num.第五n.五分之一
　　fifty num.五十，五十个
　　file n.档案vt.把…归档
　　film n.影片；胶卷；薄层
　　finally ad.最后；不可更改的
　　find vt.找到；发觉；找出
　　fine a.美好的；纤细的
　　finish vt.完成，结束n.结束
　　fire n.火；火灾vi.开火
　　first num.第一ad.最初
　　fish n.鱼，鱼肉vi.钓鱼
　　fit vt.适合；安装vi.适合
　　five num.五，五个，第五
　　flag n.旗，旗帜；旗舰旗
　　flash n.闪光vi.闪，闪烁
　　flower n.花，花卉；开花
　　fly n.蝇，苍蝇vi.飞行
　　follow vt.跟随；结果是
　　food n.食物，食品，养料
　　fool n.蠢人，傻子vt.欺骗
　　foolish a.愚蠢的；鲁莽的
　　foot n.脚；最下部；英尺
　　football n.足球比赛；足球
　　for prep.为；给；因为
　　force vt.强迫n.力，力量
　　foreign a.外国的；外来的
　　forever ad.永远，总是，老是
　　forget vt.忘记，遗忘
　　forty num.四十，第四十
　　forward ad.向前；今后，往后
　　found vt.创立，创办；建立
　　four num.四，四个，第四
　　fourteen num.十四，第十四
　　fourth num.第四，四分之一
　　free a.自由的；空闲的
　　freedom n.自由；自主
　　freely ad.自由地；直率地
　　Friday n.星期五
　　friend n.朋友，友人
　　friendly a.友好的，友谊的
　　friendship n.友谊，友好
　　from prep.从…来；离开
　　front a.前面的n.前部
　　full a.满的；完全的
　　fun n.乐趣，娱乐；玩笑
　　 G
　　game n.游戏；比赛；猎物
　　garden n.花园，菜园；公园
　　gather vi.聚集；集合vt.收集
　　general a.总的；一般的n.将军
　　gentleman n.绅士；有教养的人
　　geography n.地理，地理学
　　German a.德国的n.德国人
　　Germany n.德意志，德国
　　get vi.变得，成为；到达
　　girl n.女孩子，姑娘；女儿
　　give vt.做，作；送给
　　glad a.高兴的；乐意的
　　glass n.玻璃；玻璃杯
　　go vi.去；走；变为
　　God n.神，神像；上帝
　　gold n.金；钱财a.金制的
　　golden a.金色的；极好的
　　good a.好的；有本事的
　　goodbye int.再见，再会
　　goods n.货物，商品
　　government n.政府；治理；政治
　　grade vt.给…分等级n.等级
　　grammar n.语法；语法书
　　grand a.宏伟的；重大的
　　grandfather n.祖父；外祖父
　　grandmother n.祖母，外祖母
　　grasp vt.抓紧；掌握n.抓
　　grass n.草；牧草；草地
　　great a.大的；伟大的
　　green a.绿色的n.绿色
　　grow vi.生长；变得；增长
　　guess vt.&vi.&n.猜测，推测
　    H
　　habit n.习惯；习性
　　half n.半，一半a.一半的
　　hand n.手；人手；指针
　　handkerchief n.手帕
　　handsome a.英俊的；相当大的
　　handwriting n.笔迹，手迹，书法
　　happen vi.发生；碰巧，恰好
　　happiness n.幸福，幸运；快乐
　　happy a.快乐的；幸福的
　　hard a.硬的；困难的
　　hardly ad.几乎不，简直不
　　hat n.帽子(一般指有边的)
　　have v.aux.已经vt.有；吃
　　he pron.(主格)他
　　head n.头；上端vt.率领
　　headache n.头痛；头痛的事
　　health n.健康，健康状况
　　healthy a.健康的；有益健康的
　　hear vt.听见；审讯；听说
　　heart n.心，内心；勇气
　　heavy a.重的；大的；充满的
　　hello int.喂
　　help vt.帮助；援助n.帮手
　　helpful a.给予帮助的；有用的
　　helpless a.无助的；无能的
　　her pron.(宾格)她；她的
　　here ad.这里；向这里
　　hero n.男主角；英雄；勇士
　　hers pron.她的(所有物)
　　herself pron.她自己；她亲自
　　hi ini.嗨(表示问候等)
　　high a.高的；高级的ad.高
　　him pron.(宾格)他
　　himself pron.他自己；他亲自
　　his pron.他的，他的东西
　　history n.历史；个人经历
　　hit vt.打；碰撞n.击
　　home n.家；家乡a.家庭的
　　honest a.诚实的；可敬的
　　hope n.&vt.&vi.希望
　　hopeful a.有希望的
　　hopeless a.没有希望的，绝望的
　　horse n.马；马科动物
　　hospital n.医院
　　hot a.热的；刺激的；辣的
　　hotel n.旅馆
　　hour n.小时；时间，时刻
　　house n.房屋，住宅；商号
　　how ad.怎么；怎样；多少
　　however ad.然而；不管怎样
　　huge a.巨大的，庞大的
　　human a.人的，人类的n.人
　　humour n.幽默，诙谐，幽默感
　　hundred num.百，百个n.许多
　　hungry a.饥饿的；渴望的
　　hurry vi.赶紧vt.催促
　　hurt vt.使受伤；使痛心
　　husband n.丈夫
　　  I
　　I pron.(主格)我
　　ice n.冰，冰块vt.冰镇
　　idea n.想法；思想；意见
　　if conj.假如，如果
　　ill a.有病的；坏的ad.坏
　　illness n.病，疾病
　　immediately ad.立即；直接地
　　importance n.重要；重要性
　　important a.重要的；有势力的
　　improve vt.使更好vi.改善
　　in prep.在…里ad.进，入
　　inch n.英寸
　　include vt.包括，包含
　　income n.收入；收益；进款
　　indeed ad.真正地；确实
　　India n.印度
　　Indian a.印度的n.印度人
　　information n.消息，信息；通知
　　ink n.墨水，油墨
　　interest n.兴趣；利益；利息
　　interesting a.有趣的，引人入胜的
　　international a.国际的，世界(性)的
　　internet n.互联网
　　into prep.进，入；进入到
　　introduce vt.介绍；引进，传入
　　island n.岛，岛屿
　　it pron.这，那，它
　　Italian a.意大利的n.意大利人
　　its pron.它的s
　　itself pron.它自己；自身
　　
J
　　jacket n.短上衣，茄克衫
　　Japan n.日本，日本国
　　Japanese a.日本的n.日本人
　　job n.职业；工作；零活
　　join vt.参加；连接
　　joy n.欢乐，喜悦；乐事
　　jump vi.跳；暴涨vt.跳过
　　just ad.刚才；只是；正好
　　  K
　　keep vi.保持；坚持
　　key n.钥匙；键；答案
　　kill vi.杀死；扼杀；消磨
　　kind n.种类
　　kind a.友好的；和蔼的
　　kindness n.仁慈，好意
　　king n.国王，君主
　　kiss vt.吻vi.接吻n.吻
　　knife n.小刀，刀，餐刀
　　know vt.知道；认识；通晓
　　knowledge n.知识，学识；知道
　　  L
　　lady n.女士，夫人；贵妇人
　　land n.陆地；土地vi.上岸
　　language n.语言，语言课程
　　large a.大的；巨大的
　　last a.最后的ad.最后
　　last vi.持续，持久；耐久
　　late a.迟的ad.迟，晚
　　later ad.后来；过一会儿
　　laugh vi.笑，发笑n.笑
　　law n.法律，法令；法则
　　lawyer n.律师；法学家
　　lazy a.懒惰的，懒散的
　　lead vt.为…带路；领导
　　learn vi.&vt.学，学习
　　least a.最少的ad.最少
　　leave vi.离去vt.离开
　　leg n.腿，腿部
　　less a.更少的ad.更少地
　　lesson n.功课，课；课程
　　let vt.允许，让；使
　　letter n.信；证书；字母
　　level n.水平面a.水平的
　　lie vi.躺，平放；位于
　　lie vi.说谎，欺骗n.谎话
　　life n.生命；一生；寿命
　　light n.光，光线；灯，光源
　　light a.轻的，少量的
　　like vt.喜欢；喜爱；希望
　　like prep.像，如；像要
　　limited a.有限的
　　line n.线；排；路线；线条
　　listen vi.听，留神听；听从
　　little a.小的；少；幼小的
　　live vi.居住；活a.活的
　　load vt.装；装满n.负载
　　long a.长的；远的ad.长久
　　long vi.渴望，极想念
　　look vi.看，显得n.看
　　lose vt.失去；迷失；输掉
　　lot n.许多，大量；签，阄
　　loud a.响亮的；吵闹的
　　love vt.爱，喜欢n.爱
　　lovely a.可爱的；令人愉快的
　　lover n.爱好者；情人；情侣
　　low a.低的，矮的；低下的
　　luck n.运气；好运，幸运
　　lunch n.午餐，(美)便餐
　　  M
　　machine n.机器；机械
　　mad a.发疯的；恼火的
　　madam n.夫人，女士，太太
　　magazine n.杂志，期刊
　　mail n.邮件vt.邮寄
　　main a.主要的，最重要的
　　make vt.使；做，制造
　　man n.男人；人；人类
　　manage vt.管理；设法；对付
　　many a.许多的pron.许多人
　　map n.地图；图；天体图
　　mark n.斑点；记号vt.标明
　　market n.市场；集市；销路
　　marry vt.娶，嫁vi.结婚
　　master n.主人；能手；硕士
　　maths n.(英)数学
　　matter n.事情；物质vi.要紧
　　may v.aux.可能；可以，祝
　　maybe ad.大概，或许；也许
　　me pron.(宾格)我
　　meat n.肉
　　medicine n.内服药；医学
　　meet vt.遇见vi.相遇
　　meeting n.聚集，会合，会见
　　member n.成员，会员
　　memory n.记忆；回忆；存储
　　message n.信息，消息；启示
　　middle n.中部a.中部的
　　might v.aux.可能，会，也许
　　milk n.乳，牛奶vt.挤(奶)
　　mind n.头脑；理智；记忆
　　mine pron.我的
　　minute n.分，分钟；一会儿
　　miss n.小姐
　　miss vt.未看到；惦念
　　mistake n.错误vi.误解，弄错
　　Mister n.先生
　　mix vt.使混合，混淆
　　model n.模型；模式；模特儿
　　moment n.片刻，瞬间，时刻
　　Monday n.星期一
　　money n.货币；金钱，财富
　　monkey n.猴子，猿
　　moon n.月球，月亮；卫星
　　more a.更多的ad.更
　　morning n.早晨，上午
　　most a.最多的ad.最，很
　　mostly ad.主要的，大部分
　　mother n.母亲，妈妈
　　mountain n.山，山岳；山脉
　　mouse n.鼠，耗子
　　mouth n.嘴，口，口腔
　　move vt.移动；感动n.动
　　much ad.非常，很a.许多的
　　mud n.软泥，泥浆
　　music n.音乐，乐曲，乐谱
　　must v.aux.必须；必然要
　　my pron.我的
　　myself pron.我自己；我亲自
　　  N
　　name n.名字；名誉vt.说出
　　narrow a.狭的，狭窄的
　　native a.本土的n.本地人
　　near ad.近，接近a.近的
　　nearby a.附近的ad.在附近
　　nearly ad.差不多；密切地
　　need vt.需要v.aux.需要
　　neither a.(两者)都不的
　　net n.网，网状物；通信网
　　never ad.永不，决不；不
　　new a.新的；新近出现的
　　news n.新闻，消息
　　newspaper n.报纸，报
　　next a.紧接的；贴近的
　　nice a.美好的，令人愉快的
　　night n.夜，夜间
　　nine num.九，九个
　　nineteen num.十九，十九个
　　ninety num.九十，九十个
　　ninth num.第九；九分之一
　　no ad.不；并不a.没有
　　noise n.喧闹声；响声；噪声
　　none pron.没有人ad.毫不
　　nor conj.也不；不
　　nose n.鼻子；突出部分
　　not ad.不，没有
　　nothing n.没有东西ad.毫不
　　notice vt.注意n.通知；注意
　　now ad.现在；立刻；于是
　　number n.数，数字；号码
　　  O
　　obey vt.顺从vi.服从
　　object n.物，物体；目的
　　object vi.反对；抱反感
　　o'clock ad.…点钟
　　October n.十月
　　of prep.…的；由于
　　off ad.(离)开；(停)止
　　office n.办公室；处，局，社
　　official a.官员的；官方的
　　often ad.经常，常常
　　oh int.嗬，哦，唉呀
　　oil n.油；石油vt.加油于
　　okay (缩作OK)a.&ad.对，好
　　old a.老的；…岁的
　　on prep.在…上；在…旁
　　once ad.一次；曾经n.一次
　　one num.一pron.一个人
　　only ad.只，仅仅a.唯一的
　　open a.开的；开放的vt.开
　　or conj.或，或者；即
　　order n.次序；整齐vt.命令
　　ordinary a.平常的；平凡的
　　other a.另外的；其余的
　　otherwise ad.另外；要不然
　　ought v.aux.应当，应该
　　our pron.我们的
　　ours pron.我们的
　　ourselves pron.我们自己
　　out ad.出，在外；现出来
　　over prep.在…上方；超过
　　own a.自己的vt.有，拥有
　　  P
　　page n.页
　　paint vt.画；油漆vi.绘画
　　pair n.一对vi.成对，配对
　　paper n.纸；官方文件；文章
　　part n.一部分；零件；本份
　　party n.党，党派；聚会
　　pass vt.经过；通过；度过
　　past a.过去的n.过去
　　pause n.&vi.中止，暂停
　　pay vt.支付；付给；给予
　　peace n.和平；和睦；平静
　　pen n.钢笔，自来水笔
　　pencil n.铅笔
　　people n.人民，民族；人
　　perhaps ad.也许，可能，多半
　　person n.人；人身；本人
　　phone n.电话，电话机；耳机
　　phrase n.短语；习惯用语
　　piano n.钢琴
　　picture n.画，图片vt.画
　　piece n.碎片，块vt.拼合
　　pity n.怜悯；遗憾vt.同情
　　place n.地方，地点；住所
　　plan n.&vt.计划，打算
　　plane n.平面；飞机
　　play vi.玩，游戏；演奏
　　pleasant a.令人愉快的，舒适的
　　please vt.使高兴，请vi.满意
　　pleasure n.愉快，快乐；乐事
　　plenty n.丰富，充足，大量
　　pocket n.衣袋n.袖珍的
　　point n.点；要点；细目；分
　　police n.警察；警察当局
　　policeman n.警察
　　poor a.贫穷的；贫乏的
　　possible a.可能的；可能存在的
　　post n.柱，桩，杆vt.贴出
　　post n.邮政，邮寄；邮件
　　post n.岗位，哨所；职位
　　pound n.磅；英磅
　　power n.能力；力；权；幂
　　practice n.实践；练习；业务
　　practise vt.练习，实习，训练
　　praise n.赞扬，赞美vi.赞扬
　　prepare vt.&vi.准备，预备
　　pretty a.漂亮的，标致的
　　price n.价格，价钱；代价
　　pride n.骄傲；自豪vt.自夸
　　print vt.印刷n.印刷；正片
　　prison n.监狱，监禁
　　produce vt.生产；产生；展现
　　professor n.教授
　　progress n.前进，进展；进步
　　pronounce vt.发…的音；宣布
　　pronunciation n.发音，发音法
　　prove vt.证明vi.结果是
　　public a.公众的n.公众
　　publish vt.公布；发表；出版
　　push vt.推，逼迫vi.推
　　put vt.放，摆；使处于
　　  Q
　　quarrel n.争吵，吵架，口角
　　queen n.王后；女王
　　question n.发问；问题；疑问
　　quick a.快的；敏捷的
　　quickly ad.快，迅速
　　quiet a.寂静的；安静的
　　  R
　　rabbit n.兔子，野兔
　　radio n.无线电；收音机
rain n.雨，雨水vi.下雨
rainy a.下雨的，多雨的
raise vt.举起；引起；提高
rather ad.宁可，宁愿；相当
reach vt.抵达；伸出vi.达到
read vt.读，看懂vi.读
reader n.读者；读物，读本
reading n.读，阅读；读书
ready a.准备好的；愿意的
real a.真的；现实的
reality n.现实；真实
realize vt.实现；认识到
really ad.真正地；实在
reason n.理由；理性vi.推理
reasonable a.合情合理的；公道的
receive vt.收到；得到；接待
record n.记录；履历vt.记录
recorder n.记录者；录音机
red a.红色的n.红色
refuse vt.拒绝vt.拒绝
regard vt.把…看作；尊敬
remember vt.记得，想起；记住
remind vt.提醒，使想起
repair vt.&n.修理，修补
repeat vt.重说，重做n.重复
report vt.&vi.报告；汇报
reporter n.记者，通讯员
rest n.休息；安静；静止
rest n.剩余部分；其余的人
retell vt.再讲，重述，复述
return vi.&n.回来，返回
rice n.稻，米，饭
rich a.富的，丰富的
ride vi.&n.骑马，乘车
rider n.骑马的人；乘车的人
right a.正确的ad.对，正好
river n.江，河，水道
road n.路，道路，公路
Roman n.古罗马人a.罗马的
room n.房间；地位；余地
rose n.蔷薇花，蔷薇科植物
round a.圆的n.兜圈；一轮
rubber n.橡皮(擦子)；橡胶
rubbish n.垃圾，废物；废话
rule n.统治；规定；习惯
ruler n.统治者；尺，直尺
run vi.跑，奔；行驶；流
单词歼灭战“动员令”(下)
S
　　sad a.悲哀的，令人悲痛的
　　safe a.安全的；谨慎的
　　safe n.保险箱
　　sale n.卖；拍卖；销售额
　　salesman n.售货员，推销员
　　same a.同一的，相同的
　　sand n.沙，沙子；沙滩
　　sandwich n.三明治vt.夹入
　　Saturday n.星期六
　　save vt.救；节省；储蓄
　　say vt.说；说明；比如说
　　school n.学校；学院；学派
　　science n.科学，科学研究
　　sea n.海，海洋
　　search vt.在…中搜寻，搜查
　　season n.季，季节，时节
　　seat n.座；座部vt.使坐下
　　second num.第二a.二等的
　　second n.秒
　　see vt.看见；遇见；看出
　　seem vi.好像，似乎
　　select vt.&vi.选择，挑选
　　sell vt.&vi.卖，销售
　　seller n.卖者；行销货
　　send vt.送，寄发；派遣
　　September n.九月
　　set vt.放；安置vi.落
　　seven num.七，七个(人或物)
　　seventeen num.十七，十七个
　　seventh num.第七；七分之一
　　seventy num.七十，七十个
　　several a.几个，数个
　　sex n.性别，性
　　shall aux.v.将要；必须；应
　　sharp a.锋利的；敏锐的
　　she pron.(主格)她
　　ship n.(大)船，海船，舰
　　shirt n.(男式)衬衫
　　shoe n.鞋
　　shop n.商店，店铺；车间
　　shopping n.买东西，购物
　　short a.短的；短期的
　　should aux.v.将；万一；就
　　shoulder n.肩，肩膀；挑起
　　shout n.&vi.呼喊，喊叫
　　show vt.给…看；表明
　　shut vt.关上，闭上，关闭
　　side n.边，旁边；一方
　　sight n.视力；见；情景
　　silent a.沉默的；寂静无声的
　　simple a.简单的；朴素的
　　since conj.从…以来；因为
　　sing vi.&vt.唱，演唱
　　singer n.歌唱家，歌手
　　single a.单一的；独身的
　　sir n.先生，阁下；…爵士
　　sister n.姐妹，姐，妹
　　sit vi.坐，就坐vt.使坐
　　six num.六，六个
　　sixteen num.十六，十六个
　　sixth num.第六；六分之一
　　sixty num.六十，六十个
　　sky n.天，天空
　　sleep n.睡眠vi.睡vt.睡
　　slow a.慢的；迟钝的
　　slowly ad.慢慢地
　　small a.小的，少的；小型的
　　smile vi.微笑n.微笑，笑容
　　smoke n.烟；抽烟vi.冒烟
　　snake n.蛇
　　snow n.雪vi.下雪
　　so ad.这样；这么；非常
　　soft a.软的；柔和的
　　some a.&pron.一些，若干
　　somebody pron.某人，有人
　　someone pron.某人，有人
　　something pron.某事，某物
　　sometime ad.在某一时候；从前
　　sometimes ad.不时，有时
　　son n.儿子
